Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
hyperid cold start,Y,Y,N,N,Y,,other,156614.87601055542,4.984425357427191e-7,0.000006385089497709034,1.0596482012546075e-7,1.6595667165429844,85,5.406368373747998e-8,2.4844496143763184e-13
hyperid normal,Y,Y,N,N,Y,,other,9630096.587900847,6.9971572000658975e-9,1.0384111840128267e-7,1.4963667842110047e-9,1.4410156662878557,84,7.634524409239819e-10,4.896020888243403e-17
cuid,Y,Y,N,N,Y,,other,175568.74135993476,5.676445661253014e-7,0.00000569577472763157,1.2212188804630862e-7,2.1440786176789266,83,6.230708573791256e-8,3.2222035345158177e-13
shortid,N,Y,Y,N,Y,,other,49481.39058853615,0.0000015007505272719025,0.000020209617961538856,3.1535879658271675e-7,1.5604391789240128,87,1.6089734519526364e-7,2.2522521451068933e-12
nanoid,Y,N,Y,N,Y,,other,490591.3675460316,1.4995327609675656e-7,0.0000020383562902911683,3.226064035222881e-8,1.5826791668310622,83,1.6459510383790207e-8,2.24859850121501e-14
