Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
sodium-native,Y,N,Y,N,Y,65536,hex,1492022.795254861,3.630363324852145e-8,6.702310468582246e-7,8.692981616090428e-9,1.2970126729938358,67,4.435194702086953e-9,1.3179537870431523e-15
sodium-native,Y,N,Y,Y,Y,65536,hex,1418478.340800954,5.964980820752688e-8,7.049808031861401e-7,1.576462985587357e-8,2.2361786001300725,55,8.043178497894678e-9,3.558099619194742e-15
sodium-native,Y,N,Y,N,Y,65536,buffer,2020783.09489268,3.4242689798928663e-8,4.948576631145601e-7,1.2558644370120414e-8,2.537829623790846,31,6.150168643545747e-9,1.172561804665653e-15
sodium-native,Y,N,Y,Y,Y,65536,buffer,1971337.618261979,9.204924553451418e-9,5.072697800398318e-7,2.5263366153269743e-9,0.4980262406186707,51,1.2889472527178441e-9,8.473063603473278e-17
crypto.randomBytes,Y,N,Y,N,N,,hex,53775.68214976115,0.0000025647189231253006,0.000018595765967506962,5.766191364420975e-7,3.100808740277999,76,2.941934369602538e-7,6.577783154637001e-12
crypto.randomBytes,Y,N,Y,N,Y,,hex,421383.5912130292,3.6837902647769385e-7,0.0000023731346470357763,8.022476576625332e-8,3.3805399902807913,81,4.093100294196598e-8,1.3570310714865345e-13
crypto.randomBytes,Y,N,Y,N,N,,buffer,59395.51718226031,0.0000014637720012953577,0.000016836287441212325,3.357902463597618e-7,1.9944435347296654,73,1.713215542651846e-7,2.1426284717762163e-12
crypto.randomBytes,Y,N,Y,N,Y,,buffer,557465.509164258,1.1187253425428075e-7,0.000001793832952103497,2.3242591231533393e-8,1.2956942955183481,89,1.185846491404765e-8,1.2515463920475219e-14
crypto.randomBytes,Y,N,Y,N,Y,256,hex,1936984.9429429492,8.456207734229197e-8,5.162662743679641e-7,1.830310572797827e-8,3.5452840204186757,82,9.338319248968505e-9,7.15074492444377e-15
crypto.randomBytes,Y,N,Y,Y,Y,256,hex,1049247.0611723163,4.1535977174404777e-7,9.530643801686775e-7,1.0977391638517945e-7,11.517995916052511,55,5.6007100196520126e-8,1.7252373998326748e-13
crypto.randomBytes,Y,N,Y,N,N,256,hex,275950.11932127987,0.0000018826952281843864,0.000003623843332481883,4.686409648408566e-7,12.932153016667408,62,2.391025330820697e-7,3.5445413222282584e-12
crypto.randomBytes,Y,N,Y,Y,N,256,hex,373501.9836719961,3.0090051719454486e-7,0.0000026773619517860048,7.099936429457231e-8,2.6518403403473454,69,3.622416545641445e-8,9.054112124794459e-14
crypto.randomBytes,Y,N,Y,N,Y,256,buffer,3405324.0562632163,3.5672986808099614e-8,2.9365780861905275e-7,7.583786212839133e-9,2.5825249628138414,85,3.869278680019966e-9,1.2725619878108492e-15
crypto.randomBytes,Y,N,Y,Y,Y,256,buffer,2794056.112549224,3.252649946954013e-8,3.5790261888750187e-7,6.9976844028850905e-9,1.9551922879571453,83,3.5702471443291277e-9,1.0579731677419943e-15
crypto.randomBytes,Y,N,Y,N,N,256,buffer,503234.1271574339,1.936481804668122e-7,0.0000019871466302347094,4.4423018180786887e-8,2.2355178779907106,73,2.2664805194279023e-8,3.7499617798107066e-14
crypto.randomBytes,Y,N,Y,Y,N,256,buffer,506582.28325583413,1.889780799776682e-7,0.0000019740129748970713,4.2487454005455926e-8,2.15233914598111,76,2.167727245176323e-8,3.5712714712045963e-14
crypto.randomBytes,Y,N,Y,N,Y,4096,hex,3111119.57386631,2.193729532147321e-8,3.214276970901703e-7,4.507320672661445e-9,1.4022813570409285,91,2.2996534044191047e-9,4.812449260215305e-16
