Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
/dev/urandom,Y,Y,Y,N,N,4096,buffer,922745.9314153172,5.773651817234236e-8,0.000001083721928165199,1.281325177737101e-8,1.1823375945769181,78,6.5373733558015354e-9,3.3335055306652196e-15
/dev/urandom,Y,Y,Y,Y,N,4096,buffer,827949.4566621609,6.385523872533984e-8,0.000001207803196141287,1.4081180274122062e-8,1.16585055571213,79,7.184275650062276e-9,4.0774915126701416e-15
/dev/urandom,Y,Y,Y,Y,Y,4096,buffer,2233358.3971416755,7.19777326855711e-9,4.477561690411322e-7,1.4474128731243323e-9,0.3232591694323186,95,7.384759556756798e-10,5.18079400255553e-17
/dev/urandom,Y,Y,Y,N,N,65536,hex,780941.1372821404,7.258019196873943e-8,0.0000012805062408163515,1.600518278285971e-8,1.2499105644854998,79,8.16590958309169e-9,5.267884266219068e-15
/dev/urandom,Y,Y,Y,Y,N,65536,hex,746370.8876558465,7.557040757307216e-8,0.0000013398164592683074,1.6457555427024604e-8,1.2283440252713649,81,8.396711952563574e-9,5.7108865007602424e-15
/dev/urandom,Y,Y,Y,Y,Y,65536,hex,1541654.8536987752,2.4506016395500332e-8,6.486536189347285e-7,5.007660496589203e-9,0.7720084110242363,92,2.55492882479041e-9,6.005448395765311e-16
/dev/urandom,Y,Y,Y,N,N,65536,buffer,1054715.5976837282,3.8699507175505386e-8,9.481228894273587e-7,8.533908069812347e-9,0.9000845950430121,79,4.354034729496096e-9,1.497651855626993e-15
/dev/urandom,Y,Y,Y,Y,N,65536,buffer,962060.202376545,5.576122876630461e-8,0.0000010394359911466387,1.2143556486884115e-8,1.1682832411342738,81,6.195692085144957e-9,3.1093146335281567e-15
/dev/urandom,Y,Y,Y,Y,Y,65536,buffer,2247820.530475067,1.5420800244172085e-8,4.448753743648094e-7,3.537541576470132e-9,0.7951758582998698,73,1.8048681512602713e-9,2.3780108017065787e-16
hyperid cold start,Y,Y,N,N,Y,,other,164782.24618150413,6.79281331680765e-7,0.000006068614933786746,1.4192680119090544e-7,2.3387017093593174,88,7.241163326066604e-8,4.614231275699935e-13
hyperid normal,Y,Y,N,N,Y,,other,10048448.970413033,1.133117172970339e-8,9.951784628099633e-8,2.4377650522649045e-9,2.4495757729540153,83,1.2437576797269922e-9,1.2839545276802933e-16
cuid,Y,Y,N,N,Y,,other,195023.9519145793,3.177971853249169e-7,0.00000512757530643211,6.678001180091057e-8,1.302370181031582,87,3.407143459230131e-8,1.009950510004396e-13
shortid,N,Y,Y,N,Y,,other,53122.46375511056,7.296267107825222e-7,0.00001882442811029819,1.5158694225859547e-7,0.8052671845880276,89,7.73402766625487e-8,5.323551370873223e-13
nanoid,Y,N,Y,N,Y,,other,559287.3178014825,6.658342848808341e-8,0.0000017879897651370441,1.3460410307106998e-8,0.7528236777169302,94,6.8675562791362235e-9,4.4333529492277174e-15
